,Website,Time,Direction,Length
0,homedepot,0.0,1.0,1606
1,homedepot,0.00010499999999999399,1.0,391
2,homedepot,0.00045100000000000695,1.0,1606
3,homedepot,0.0005460000000000048,1.0,391
4,homedepot,0.012525000000000008,0.0,162
5,homedepot,0.14483000000000001,0.0,1204
6,homedepot,0.14494,0.0,1208
7,homedepot,0.14524900000000002,0.0,1606
8,homedepot,0.14530300000000002,0.0,802
9,homedepot,0.145406,0.0,400
10,homedepot,0.14547800000000002,0.0,1606
11,homedepot,0.14555200000000001,0.0,1606
12,homedepot,0.145625,0.0,1446
13,homedepot,0.145679,0.0,1610
14,homedepot,0.14591700000000002,0.0,1606
15,homedepot,0.14599,0.0,884
16,homedepot,0.146065,0.0,1610
17,homedepot,0.146304,0.0,1606
18,homedepot,0.14637899999999998,0.0,1606
19,homedepot,0.14660600000000001,0.0,1606
20,homedepot,0.146679,0.0,1606
21,homedepot,0.14673200000000003,0.0,1606
22,homedepot,0.14680500000000002,0.0,1610
23,homedepot,0.14704299999999998,0.0,884
24,homedepot,0.14728200000000002,1.0,158
25,homedepot,0.14739000000000002,1.0,162
26,homedepot,0.152275,1.0,158
27,homedepot,0.15240900000000002,1.0,158
28,homedepot,0.152505,1.0,158
29,homedepot,0.152598,1.0,158
30,homedepot,0.152692,1.0,158
31,homedepot,0.152827,1.0,158
32,homedepot,0.152906,1.0,158
33,homedepot,0.15298499999999998,1.0,158
34,homedepot,0.15305999999999997,1.0,158
35,homedepot,0.153138,1.0,158
36,homedepot,0.15321200000000001,1.0,158
37,homedepot,0.15328600000000003,1.0,158
38,homedepot,0.153468,1.0,158
39,homedepot,0.15357700000000002,1.0,158
40,homedepot,0.15366399999999997,1.0,158
41,homedepot,0.15373900000000001,1.0,158
42,homedepot,0.15382,1.0,162
43,homedepot,0.533947,1.0,1606
44,homedepot,0.534114,1.0,516
45,homedepot,0.5464579999999999,0.0,162
46,homedepot,0.5978319999999999,0.0,1452
47,homedepot,0.599588,1.0,158
48,homedepot,0.5997250000000001,1.0,162
49,homedepot,0.605321,1.0,1606
50,homedepot,0.6054390000000001,1.0,362
51,homedepot,0.6163069999999999,0.0,162
52,homedepot,0.6590529999999999,0.0,1188
53,homedepot,0.660752,1.0,162
54,homedepot,0.676051,1.0,1606
55,homedepot,0.676167,1.0,582
56,homedepot,0.6937439999999999,0.0,162
57,homedepot,0.8179580000000002,0.0,657
58,homedepot,0.819887,1.0,162
59,homedepot,0.934785,0.0,182
60,homedepot,0.9368049999999999,1.0,174
