,Website,Time,Direction,Length
0,nytimes,0.0,1.0,206
1,nytimes,0.00014400000000000523,1.0,206
2,nytimes,0.0003230000000000177,1.0,206
3,nytimes,0.0005850000000000022,1.0,206
4,nytimes,0.0012320000000000386,1.0,206
5,nytimes,0.001373000000000013,1.0,206
6,nytimes,0.0014720000000000288,1.0,206
7,nytimes,0.0016450000000000353,1.0,206
8,nytimes,0.13481500000000002,0.0,252
9,nytimes,0.134921,0.0,334
10,nytimes,0.135183,1.0,195
11,nytimes,0.135278,1.0,174
12,nytimes,0.13553000000000004,1.0,195
13,nytimes,0.13561,1.0,174
14,nytimes,0.135807,1.0,195
15,nytimes,0.13588699999999998,1.0,174
16,nytimes,0.13603400000000004,1.0,300
17,nytimes,0.136114,1.0,382
18,nytimes,0.136318,1.0,300
19,nytimes,0.136409,1.0,382
20,nytimes,0.136652,1.0,300
21,nytimes,0.136756,1.0,382
22,nytimes,0.14660100000000004,1.0,574
23,nytimes,0.14692700000000003,1.0,574
24,nytimes,0.14725300000000002,1.0,574
25,nytimes,0.17220000000000008,0.0,170
26,nytimes,0.17258099999999998,0.0,170
27,nytimes,0.173251,0.0,170
28,nytimes,0.17424299999999998,1.0,150
29,nytimes,0.17458399999999996,1.0,150
30,nytimes,0.17484699999999997,1.0,150
31,nytimes,0.31128100000000003,0.0,158
32,nytimes,0.311376,0.0,162
33,nytimes,0.31153700000000006,0.0,158
34,nytimes,0.31161000000000005,0.0,162
35,nytimes,0.311786,0.0,158
36,nytimes,0.311835,0.0,162
37,nytimes,0.32296400000000003,1.0,860
38,nytimes,0.323195,1.0,860
39,nytimes,0.323464,1.0,860
40,nytimes,0.48652300000000004,0.0,1546
41,nytimes,0.48674000000000006,1.0,860
42,nytimes,0.486988,0.0,1542
43,nytimes,0.48813300000000004,0.0,2040
44,nytimes,0.48845800000000006,0.0,1542
45,nytimes,0.48987900000000006,0.0,2040
46,nytimes,0.490031,0.0,3016
47,nytimes,0.4914750000000001,1.0,158
48,nytimes,0.491594,1.0,158
49,nytimes,0.49167400000000006,1.0,158
50,nytimes,0.49175499999999994,1.0,162
51,nytimes,0.4928330000000001,0.0,3016
52,nytimes,0.494494,0.0,3016
53,nytimes,0.49630300000000005,1.0,158
54,nytimes,0.496436,1.0,158
55,nytimes,0.49653100000000006,1.0,162
56,nytimes,0.496738,1.0,158
57,nytimes,0.4968370000000001,1.0,158
58,nytimes,0.49692500000000006,1.0,158
59,nytimes,0.497016,1.0,162
60,nytimes,0.49769699999999994,1.0,158
61,nytimes,0.49781600000000004,1.0,158
62,nytimes,0.4979,1.0,162
63,nytimes,0.498536,0.0,1972
64,nytimes,0.4986330000000001,0.0,625
65,nytimes,0.49870400000000004,0.0,1586
66,nytimes,0.498776,0.0,1586
67,nytimes,0.49884799999999996,0.0,1586
68,nytimes,0.498919,0.0,977
69,nytimes,0.500481,1.0,158
70,nytimes,0.5005710000000001,1.0,158
71,nytimes,0.500648,1.0,162
72,nytimes,0.5009210000000001,0.0,174
73,nytimes,0.5011450000000001,1.0,158
74,nytimes,0.501202,1.0,158
75,nytimes,0.501274,1.0,170
76,nytimes,0.5013460000000001,1.0,162
77,nytimes,0.5015040000000001,1.0,162
78,nytimes,1.190586,1.0,195
79,nytimes,1.1907130000000001,1.0,195
80,nytimes,1.190989,1.0,174
81,nytimes,1.191215,1.0,195
82,nytimes,1.191344,1.0,195
83,nytimes,1.191467,1.0,211
84,nytimes,1.191619,1.0,211
85,nytimes,1.1917579999999999,1.0,199
86,nytimes,1.1918810000000002,1.0,199
87,nytimes,1.203248,0.0,357
88,nytimes,1.203348,0.0,286
89,nytimes,1.203804,0.0,286
90,nytimes,1.204461,1.0,267
91,nytimes,1.2045649999999999,1.0,255
92,nytimes,1.204645,1.0,334
93,nytimes,1.204918,0.0,310
94,nytimes,1.205215,1.0,334
95,nytimes,1.2056710000000002,1.0,334
96,nytimes,1.2065130000000002,1.0,334
97,nytimes,1.206687,1.0,210
98,nytimes,1.206807,1.0,210
99,nytimes,1.207076,0.0,210
