,Website,Time,Direction,Length
0,stackoverflow,0.0,1.0,245
1,stackoverflow,0.044371999999999856,1.0,245
2,stackoverflow,0.051238999999999923,0.0,162
3,stackoverflow,0.0536549999999999,0.0,174
4,stackoverflow,0.21401099999999984,0.0,555
5,stackoverflow,0.21408499999999997,0.0,1681
6,stackoverflow,0.21415799999999996,0.0,1716
7,stackoverflow,0.21422999999999992,0.0,1680
8,stackoverflow,0.2143689999999998,0.0,1748
9,stackoverflow,0.21444200000000002,0.0,1734
10,stackoverflow,0.2145149999999999,0.0,1686
11,stackoverflow,0.2187779999999998,1.0,158
12,stackoverflow,0.21891699999999992,1.0,158
13,stackoverflow,0.21905299999999983,1.0,158
14,stackoverflow,0.2191329999999999,1.0,158
15,stackoverflow,0.2192059999999999,1.0,158
16,stackoverflow,0.21927999999999992,1.0,158
17,stackoverflow,0.21935799999999994,1.0,158
18,stackoverflow,0.21943199999999996,1.0,158
19,stackoverflow,0.21950599999999987,1.0,158
20,stackoverflow,0.21958500000000003,1.0,158
21,stackoverflow,0.21965899999999994,1.0,158
22,stackoverflow,0.21973299999999996,1.0,158
23,stackoverflow,0.21980699999999997,1.0,158
24,stackoverflow,0.21988099999999988,1.0,158
25,stackoverflow,0.21995900000000002,1.0,158
26,stackoverflow,0.22003799999999984,1.0,162
27,stackoverflow,0.2203799999999999,0.0,950
28,stackoverflow,0.22610799999999998,1.0,174
