,Website,Time,Direction,Length
0,wikipedia,0.0,1.0,228
1,wikipedia,0.03610600000000003,0.0,1606
2,wikipedia,0.036159,0.0,1610
3,wikipedia,0.03651299999999996,0.0,1606
4,wikipedia,0.036582,0.0,1606
5,wikipedia,0.036654000000000075,0.0,1606
6,wikipedia,0.03670200000000001,0.0,1606
7,wikipedia,0.03674999999999995,0.0,1606
8,wikipedia,0.03679699999999997,0.0,737
9,wikipedia,0.03837099999999999,1.0,178
10,wikipedia,0.03845100000000001,1.0,182
11,wikipedia,0.039603000000000055,1.0,178
12,wikipedia,0.03974999999999995,1.0,178
13,wikipedia,0.039827,1.0,178
14,wikipedia,0.03989799999999999,1.0,178
15,wikipedia,0.039949999999999986,1.0,178
16,wikipedia,0.04002400000000006,1.0,178
17,wikipedia,0.04009800000000002,1.0,182
18,wikipedia,0.04031200000000007,1.0,178
19,wikipedia,0.04037000000000002,1.0,178
20,wikipedia,0.040424000000000015,1.0,178
21,wikipedia,0.04047600000000001,1.0,178
22,wikipedia,0.04053000000000001,1.0,178
23,wikipedia,0.04060200000000003,1.0,178
24,wikipedia,0.04067400000000004,1.0,182
25,wikipedia,0.455842,1.0,200
26,wikipedia,0.45597100000000007,1.0,200
27,wikipedia,0.45671200000000006,1.0,174
28,wikipedia,0.4568060000000001,1.0,200
29,wikipedia,0.456942,1.0,200
30,wikipedia,0.4570739999999999,1.0,200
31,wikipedia,0.4571720000000001,1.0,202
32,wikipedia,0.45740300000000006,1.0,170
33,wikipedia,0.45747599999999994,1.0,174
34,wikipedia,0.45762600000000003,1.0,771
35,wikipedia,0.457683,1.0,861
36,wikipedia,0.46786900000000003,0.0,315
37,wikipedia,0.46947599999999995,1.0,363
38,wikipedia,0.47961100000000007,0.0,357
39,wikipedia,0.47972200000000004,0.0,298
40,wikipedia,0.4823880000000001,1.0,409
41,wikipedia,0.49439799999999995,0.0,264
42,wikipedia,0.494484,0.0,162
43,wikipedia,0.494866,0.0,584
44,wikipedia,0.5066790000000001,1.0,158
45,wikipedia,0.50678,1.0,675
46,wikipedia,0.5068520000000001,1.0,158
47,wikipedia,0.506926,1.0,679
48,wikipedia,0.5071399999999999,1.0,158
49,wikipedia,0.507215,1.0,675
50,wikipedia,0.5072860000000001,1.0,158
51,wikipedia,0.507361,1.0,679
52,wikipedia,0.507538,1.0,158
53,wikipedia,0.507592,1.0,675
54,wikipedia,0.507646,1.0,158
55,wikipedia,0.5076989999999999,1.0,679
56,wikipedia,0.507843,1.0,162
57,wikipedia,0.5079750000000001,1.0,158
58,wikipedia,0.5080279999999999,1.0,675
59,wikipedia,0.508079,1.0,158
60,wikipedia,0.508132,1.0,679
61,wikipedia,0.539671,0.0,158
62,wikipedia,0.539752,0.0,162
63,wikipedia,0.539995,0.0,1610
64,wikipedia,0.5402069999999999,0.0,1610
65,wikipedia,0.540589,1.0,771
66,wikipedia,0.5406870000000001,1.0,1103
67,wikipedia,0.5408890000000002,1.0,771
68,wikipedia,0.5409649999999999,1.0,1103
69,wikipedia,0.5411329999999999,0.0,1358
70,wikipedia,0.541204,0.0,1386
71,wikipedia,0.54139,0.0,1358
72,wikipedia,0.541439,0.0,1386
73,wikipedia,0.5420419999999999,1.0,771
74,wikipedia,0.5421470000000002,1.0,1103
75,wikipedia,0.542402,1.0,162
76,wikipedia,0.5426310000000001,0.0,1358
77,wikipedia,0.5427029999999999,0.0,1386
78,wikipedia,0.5429470000000001,0.0,307
79,wikipedia,0.543282,0.0,307
80,wikipedia,0.544381,1.0,158
81,wikipedia,0.5444880000000001,1.0,162
82,wikipedia,0.545817,1.0,158
83,wikipedia,0.545917,1.0,213
84,wikipedia,0.5475489999999998,1.0,666
85,wikipedia,0.5578430000000001,1.0,288
86,wikipedia,0.5786399999999998,0.0,158
87,wikipedia,0.578711,0.0,603
88,wikipedia,0.578835,0.0,603
89,wikipedia,0.5813550000000001,1.0,162
90,wikipedia,0.581974,0.0,158
91,wikipedia,0.5820700000000001,0.0,331
92,wikipedia,0.582292,0.0,158
93,wikipedia,0.5823399999999999,0.0,331
94,wikipedia,0.5829519999999999,0.0,158
95,wikipedia,0.583037,0.0,331
96,wikipedia,0.5842419999999999,1.0,162
97,wikipedia,0.589899,0.0,213
98,wikipedia,0.592382,1.0,162
99,wikipedia,0.5926180000000001,1.0,162
