,Website,Time,Direction,Length
0,yahoo,0.0,1.0,234
1,yahoo,0.00031999999999998696,1.0,234
2,yahoo,0.0006009999999999627,1.0,234
3,yahoo,0.05483199999999999,0.0,216
4,yahoo,0.055145,0.0,773
5,yahoo,0.05692600000000003,1.0,178
6,yahoo,0.05718800000000002,1.0,178
7,yahoo,0.05730599999999997,1.0,182
8,yahoo,0.05802499999999999,0.0,220
9,yahoo,0.058242000000000016,0.0,1621
10,yahoo,0.05838499999999991,0.0,1621
11,yahoo,0.058626999999999985,0.0,552
12,yahoo,0.05902699999999994,1.0,182
13,yahoo,0.05947999999999998,1.0,178
14,yahoo,0.05964899999999995,1.0,178
15,yahoo,0.05971799999999994,1.0,178
16,yahoo,0.059765999999999986,1.0,182
17,yahoo,0.09543000000000001,0.0,216
18,yahoo,0.09551399999999999,0.0,1621
19,yahoo,0.09573899999999991,0.0,1621
20,yahoo,0.09585299999999997,0.0,1621
21,yahoo,0.09606799999999993,0.0,1621
22,yahoo,0.09645899999999996,0.0,1621
23,yahoo,0.09668499999999991,0.0,1621
24,yahoo,0.097163,0.0,1621
25,yahoo,0.09739200000000003,1.0,178
26,yahoo,0.09744900000000001,1.0,178
27,yahoo,0.09751899999999991,1.0,178
28,yahoo,0.09756699999999996,1.0,178
29,yahoo,0.09761500000000001,1.0,178
30,yahoo,0.09766399999999997,1.0,182
31,yahoo,0.09789599999999998,1.0,182
32,yahoo,0.09814100000000003,0.0,1390
33,yahoo,0.09838599999999997,0.0,303
34,yahoo,0.09847399999999995,0.0,1621
35,yahoo,0.09856299999999996,0.0,1621
36,yahoo,0.098854,1.0,178
37,yahoo,0.09890599999999994,1.0,182
38,yahoo,0.09901899999999997,1.0,178
39,yahoo,0.09909099999999993,1.0,182
40,yahoo,0.09930299999999992,0.0,1242
41,yahoo,0.09939399999999998,0.0,1621
42,yahoo,0.09958499999999992,0.0,1621
43,yahoo,0.0997889999999999,1.0,182
44,yahoo,0.10005699999999995,0.0,1621
45,yahoo,0.10036999999999996,0.0,1390
46,yahoo,0.100553,0.0,303
47,yahoo,0.10068299999999997,0.0,1621
48,yahoo,0.10082499999999994,0.0,1621
49,yahoo,0.10092400000000001,0.0,1617
50,yahoo,0.10104399999999991,0.0,1621
51,yahoo,0.10182999999999998,1.0,178
52,yahoo,0.10215099999999999,1.0,178
53,yahoo,0.102271,1.0,178
54,yahoo,0.10234100000000002,1.0,182
55,yahoo,0.10243199999999997,1.0,178
56,yahoo,0.10250199999999998,1.0,178
57,yahoo,0.10257399999999994,1.0,182
58,yahoo,0.10277000000000003,0.0,1390
59,yahoo,0.10305599999999993,1.0,178
60,yahoo,0.103128,1.0,182
61,yahoo,0.10405699999999996,1.0,178
62,yahoo,0.104136,1.0,178
63,yahoo,0.10420599999999991,1.0,182
64,yahoo,0.12212500000000004,0.0,1386
65,yahoo,0.12245799999999996,0.0,1386
66,yahoo,0.12252799999999997,0.0,1386
67,yahoo,0.12257499999999999,0.0,1390
68,yahoo,0.12280000000000002,0.0,1386
69,yahoo,0.12284700000000004,0.0,1386
70,yahoo,0.122892,0.0,1390
71,yahoo,0.12322100000000002,0.0,1390
72,yahoo,0.12333899999999998,0.0,1390
73,yahoo,0.12376199999999993,0.0,1390
74,yahoo,0.12418099999999999,1.0,178
75,yahoo,0.12433300000000003,1.0,178
76,yahoo,0.12438099999999996,1.0,178
77,yahoo,0.12442799999999998,1.0,178
78,yahoo,0.124475,1.0,178
79,yahoo,0.12454500000000002,1.0,182
80,yahoo,0.12484399999999996,0.0,1386
81,yahoo,0.12491399999999997,0.0,1390
82,yahoo,0.12504399999999993,0.0,1386
83,yahoo,0.12526099999999996,0.0,1390
84,yahoo,0.12549100000000002,1.0,178
85,yahoo,0.125641,1.0,178
86,yahoo,0.12568999999999997,1.0,182
87,yahoo,0.12602000000000002,0.0,1386
88,yahoo,0.12606499999999998,0.0,1386
89,yahoo,0.12610999999999994,0.0,1386
90,yahoo,0.12615699999999996,0.0,1390
91,yahoo,0.12628799999999996,1.0,178
92,yahoo,0.12641499999999994,1.0,178
93,yahoo,0.126463,1.0,182
94,yahoo,0.126776,0.0,1386
95,yahoo,0.126822,0.0,1386
96,yahoo,0.12686699999999995,0.0,1386
97,yahoo,0.12691300000000005,0.0,1390
98,yahoo,0.127297,0.0,1386
99,yahoo,0.12734599999999996,0.0,1386
