"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","BelkinIn_5a:3e:57","Broadcast","802.11","363","Beacon frame, SN=932, FN=0, Flags=........C, BI=100, SSID=Linksys04458"
"2","0.003685","26:f5:a2:5a:3e:57","Broadcast","802.11","296","Beacon frame, SN=933, FN=0, Flags=........C, BI=100, SSID=Linksys04458-guest[Malformed Packet]"
"3","0.011639","22:32:33:7b:31:3b","Broadcast","802.11","209","Beacon frame, SN=674, FN=0, Flags=........C, BI=100, SSID=Anycast-30FF9A"
"4","0.022059","Cisco-Li_5b:1c:d0","Broadcast","802.11","288","Beacon frame, SN=1911, FN=0, Flags=........C, BI=100, SSID=Cisco19640"
"5","0.030612","NovatelW_6a:54:37","Broadcast","802.11","284","Beacon frame, SN=222, FN=0, Flags=........C, BI=100, SSID=Verizon-MiFi8800L-5436"
"6","0.033591","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Acknowledgement, Flags=........C"
"7","0.084238","Tp-LinkT_fb:9d:45","Broadcast","802.11","304","Beacon frame, SN=2960, FN=0, Flags=........C, BI=100, SSID=\357\277\275\357\277\275\357\277\275"
"8","0.103528","BelkinIn_5a:3e:57","Broadcast","802.11","363","Beacon frame, SN=934, FN=0, Flags=........C, BI=100, SSID=Linksys04458"
"9","0.105983","26:f5:a2:5a:3e:57","Broadcast","802.11","296","Beacon frame, SN=935, FN=0, Flags=........C, BI=100, SSID=Linksys04458-guest"
"10","0.113959","22:32:33:7b:31:3b","Broadcast","802.11","209","Beacon frame, SN=675, FN=0, Flags=........C, BI=100, SSID=Anycast-30FF9A"
"11","0.124022","Cisco-Li_5b:1c:d0","Broadcast","802.11","288","Beacon frame, SN=1912, FN=0, Flags=........C, BI=100, SSID=Cisco19640"
"12","0.186637","Tp-LinkT_fb:9d:45","Broadcast","802.11","304","Beacon frame, SN=2961, FN=0, Flags=........C, BI=100, SSID=\357\277\275\357\277\275\357\277\275[Malformed Packet]"
"13","0.216508","22:32:33:7b:31:3b","Broadcast","802.11","209","Beacon frame, SN=676, FN=0, Flags=........C, BI=100, SSID=Anycast-30FF9A"
"14","0.226445","Cisco-Li_5b:1c:d0","Broadcast","802.11","288","Beacon frame, SN=1913, FN=0, Flags=........C, BI=100, SSID=Cisco19640"
