frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"2","0.037707075","192.168.1.118","162.125.248.1","TLSv1.2","257","Application Data"
"3","0.053612838","162.125.248.1","192.168.1.118","TLSv1.2","412","Application Data"
"4","0.053689825","192.168.1.118","162.125.248.1","TCP","66","37122 → 443 [ACK] Seq=192 Ack=347 Win=499 Len=0 TSval=2161568765 TSecr=3127096192"
"5","0.510857188","192.168.1.119","224.0.0.251","MDNS","130","Standard query 0x0000 PTR _homekit._tcp.local, "QU" question PTR _companion-link._tcp.local, "QU" question OPT"
"6","0.513125888","fe80::1044:3da9:1707:700c","ff02::fb","MDNS","150","Standard query 0x0000 PTR _homekit._tcp.local, "QU" question PTR _companion-link._tcp.local, "QU" question OPT"
"7","1.232200650","fe80::1044:3da9:1707:700c","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"8","1.251838788","192.168.1.118","192.168.1.102","TCP","176","42902 → 8009 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=110 TSval=2817031859 TSecr=5087538 [TCP segment of a reassembled PDU]"
"9","1.268268075","192.168.1.102","192.168.1.118","TCP","176","8009 → 42902 [PSH, ACK] Seq=1 Ack=111 Win=277 Len=110 TSval=5088040 TSecr=2817031859 [TCP segment of a reassembled PDU]"
"10","1.268346050","192.168.1.118","192.168.1.102","TCP","66","42902 → 8009 [ACK] Seq=111 Ack=111 Win=501 Len=0 TSval=2817031876 TSecr=5088040"
"11","1.306367763","Cisco-Li_5b:1c:ce","IntelCor_b7:52:73","ARP","42","Who has 192.168.1.118? Tell 192.168.1.1"
"12","1.306404100","IntelCor_b7:52:73","Cisco-Li_5b:1c:ce","ARP","42","192.168.1.118 is at dc:fb:48:b7:52:73"
"13","1.535075600","192.168.1.119","224.0.0.251","MDNS","130","Standard query 0x0000 PTR _homekit._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question OPT"
"14","1.537230175","fe80::1044:3da9:1707:700c","ff02::fb","MDNS","150","Standard query 0x0000 PTR _homekit._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question OPT"
