"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","NovatelW_6a:54:37","Broadcast","802.11","284","Beacon frame, SN=2550, FN=0, Flags=........C, BI=100, SSID=Verizon-MiFi8800L-5436"
"2","0.003336","22:32:33:7b:31:3b","Broadcast","802.11","209","Beacon frame, SN=1764, FN=0, Flags=........C, BI=100, SSID=Anycast-30FF9A"
"3","0.010677","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=4073, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"4","0.022474","52:b9:66:bd:e7:9f","Broadcast","AWDL","362","Periodic Synchronization"
"5","0.035998","Netgear_9a:69:f1","Broadcast","802.11","344","Beacon frame, SN=778, FN=0, Flags=........C, BI=200, SSID=Winterfell"
"6","0.041624","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=4074, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"7","0.071994","Cisco-Li_5b:1c:d0","Broadcast","802.11","288","Beacon frame, SN=102, FN=0, Flags=........C, BI=100, SSID=Cisco19640"
"8","0.099813","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Clear-to-send, Flags=........C"
"9","0.099860","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"10","0.099908","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Acknowledgement, Flags=........C"
"11","0.100004","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"12","0.102864","NovatelW_6a:54:37","Broadcast","802.11","284","Beacon frame, SN=2551, FN=0, Flags=........C, BI=100, SSID=Verizon-MiFi8800L-5436"
"13","0.104183","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=4076, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"14","0.109660","22:32:33:7b:31:3b","Broadcast","802.11","209","Beacon frame, SN=1765, FN=0, Flags=........C, BI=100, SSID=Anycast-30FF9A"
"15","0.117185","IntelCor_b7:52:73","Google_52:20:d9","802.11","241","QoS Data, SN=926, FN=0, Flags=.p.....TC"
"16","0.117330","","IntelCor_b7:52:73 (dc:fb:48:b7:52:73) (RA)","802.11","39","Acknowledgement, Flags=........C"
"17","0.119582","Apple_53:af:45","IPv4mcast_fb","802.11","242","Data, SN=103, FN=0, Flags=.pm...F.C"
"18","0.122155","Apple_53:af:45","IPv6mcast_fb","802.11","262","Data, SN=104, FN=0, Flags=.p....F.C"
"19","0.122212","IntelCor_b7:52:73","Google_52:20:d9","802.11","264","QoS Data, SN=966, FN=0, Flags=.p....F.C"
"20","0.122372","Google_52:20:d9 (e4:f0:42:52:20:d9) (TA)","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"21","0.123217","Google_52:20:d9","IntelCor_b7:52:73","802.11","264","QoS Data, SN=2617, FN=0, Flags=.p.....TC"
"22","0.123322","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Google_52:20:d9 (e4:f0:42:52:20:d9) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"23","0.123438","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","IntelCor_b7:52:73 (dc:fb:48:b7:52:73) (RA)","802.11","45","Request-to-send, Flags=........C"
"24","0.123488","","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (RA)","802.11","39","Clear-to-send, Flags=........C"
"25","0.123537","Google_52:20:d9","IntelCor_b7:52:73","802.11","264","QoS Data, SN=1857, FN=0, Flags=.p....F.C"
"26","0.123689","IntelCor_b7:52:73 (dc:fb:48:b7:52:73) (TA)","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"27","0.125128","IntelCor_b7:52:73","Google_52:20:d9","802.11","131","QoS Data, SN=927, FN=0, Flags=.p.....TC"
"28","0.125286","","IntelCor_b7:52:73 (dc:fb:48:b7:52:73) (RA)","802.11","39","Acknowledgement, Flags=........C"
"29","0.125478","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Google_52:20:d9 (e4:f0:42:52:20:d9) (RA)","802.11","45","Request-to-send, Flags=........C"
"30","0.125544","","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (RA)","802.11","39","Clear-to-send, Flags=........C"
