"No.","Time","Source","Destination","Protocol","Length","Info"
"67","9.321368110","192.168.1.118","23.43.56.186","HTTP","362","GET /success.txt HTTP/1.1 "
"69","9.344694889","23.43.56.186","192.168.1.118","HTTP","450","HTTP/1.1 200 OK  (text/plain)"
"78","9.491965868","192.168.1.118","23.43.56.186","HTTP","367","GET /success.txt?ipv4 HTTP/1.1 "
"88","9.513696704","23.43.56.186","192.168.1.118","HTTP","450","HTTP/1.1 200 OK  (text/plain)"
"201","18.633233088","192.168.1.118","172.217.11.35","OCSP","447","Request"
"203","18.696389048","172.217.11.35","192.168.1.118","OCSP","767","Response"
"234","19.072601052","192.168.1.118","72.21.91.29","OCSP","445","Request"
"238","19.097516037","72.21.91.29","192.168.1.118","OCSP","865","Response"
"383","21.000197916","192.168.1.118","172.217.10.67","OCSP","448","Request"
"389","21.039519292","172.217.10.67","192.168.1.118","OCSP","768","Response"
"519","23.236914360","192.168.1.118","72.21.91.29","OCSP","445","Request"
"522","23.253872104","72.21.91.29","192.168.1.118","OCSP","865","Response"
"524","23.254362133","192.168.1.118","72.21.91.29","OCSP","445","Request"
"527","23.274750147","72.21.91.29","192.168.1.118","OCSP","865","Response"
"571","24.161325963","192.168.1.118","172.217.10.67","OCSP","448","Request"
"590","24.201455380","172.217.10.67","192.168.1.118","OCSP","768","Response"
"592","24.202049276","192.168.1.118","172.217.10.67","OCSP","448","Request"
"599","24.235823921","172.217.10.67","192.168.1.118","OCSP","768","Response"
"640","25.251548170","192.168.1.118","172.217.10.67","OCSP","447","Request"
"641","25.264174762","192.168.1.118","172.217.10.67","OCSP","447","Request"
"644","25.295267737","172.217.10.67","192.168.1.118","OCSP","767","Response"
"646","25.303957304","172.217.10.67","192.168.1.118","OCSP","767","Response"
"730","33.485836721","192.168.1.118","172.217.10.67","OCSP","447","Request"
"732","33.520410331","172.217.10.67","192.168.1.118","OCSP","767","Response"
"764","34.612652233","192.168.1.118","172.217.10.67","OCSP","447","Request"
"766","34.661174831","172.217.10.67","192.168.1.118","OCSP","767","Response"
"867","36.735174181","192.168.1.118","172.217.10.67","OCSP","447","Request"
"893","36.772380333","172.217.10.67","192.168.1.118","OCSP","767","Response"
